"Haltestellen_Id","Haltestellennummer","Haltestellenkurzname","Haltestellenlangname"
582,114,"AUBR","Zürich, Aubrücke"
184,128,"AUSS","Zürich, Ausserdorfstrasse"
322,132,"ZAUZ","Zürich, Auzelg"
678,134,"AUZO","Zürich, Auzelg Ost"
667,137,"BACH","Zürich, Bachmattstrasse"
244,1234,"BANL","Zürich, Bäckeranlage"
259,144,"BADA","Zürich, Bad Allenmoos"
574,3021,"BAFF","Zürich, Bahnhof Affoltern"
49,3022,"BALT","Zürich, Bahnhof Altstetten"
336,5001,"BALN","Zürich, Bahnhof Altstetten N"
158,3026,"ENGE","Zürich, Bahnhof Enge"
85,199,"BEDE","Zürich, Bahnhof Enge/Bederstr."
53,3029,"HSBB","Zürich, Bahnhof Hardbrücke"
568,2547,"BLEI","Zürich, Bahnhof Leimbach"
257,3034,"BOER","Zürich, Bahnhof Oerlikon"
4,6255,"BOEN","Zürich, Bahnhof Oerlikon Nord"
191,3447,"BOEO","Zürich, Bahnhof Oerlikon Ost"
346,2551,"BSEL","Zürich, Bahnhof Selnau"
39,3039,"BSTA","Zürich, Bahnhof Stadelhofen"
369,2575,"BSTE","Zürich, Bahnhof Stettbach"
236,3041,"BTIE","Zürich, Bahnhof Tiefenbrunnen"
295,3042,"BWIE","Zürich, Bahnhof Wiedikon"
199,3043,"BWIP","Zürich, Bahnhof Wipkingen"
79,412,"BPLA","Zürich, Bahnhofplatz/HB"
64,413,"BQUA","Zürich, Bahnhofquai/HB"
63,416,"BSTR","Zürich, Bahnhofstrasse/HB"
36,421,"BALG","Zürich, Balgrist"
77,592,"BAEN","Zürich, Bändliweg"
51,427,"BASL","Zürich, Baslerstrasse"
293,435,"BECK","Zürich, Beckenhof"
157,440,"BELL","Zürich, Bellevue"
520,455,"BERH","Zürich, Berghaldenstrasse"
648,459,"BDOL","Zürich, Bergstation Dolderbahn"
289,465,"BERN","Zürich, Berninaplatz"
72,467,"BERO","Zürich, Bernoulli-Häuser"
361,468,"BERT","Zürich, Bertastrasse"
144,3587,"BERU","Zürich, Berufswahlschule"
367,470,"BESE","Zürich, Besenrainstrasse"
225,471,"BETH","Zürich, Bethanien"
60,478,"BEZI","Zürich, Bezirksgebäude"
107,3774,"BWOB","Zürich, Bhf Wollishofen (Bus)"
276,3044,"BWOL","Zürich, Bhf Wollishofen (Tram)"
277,488,"BILO","Zürich, Billoweg"
703,493,"BINZ","Zürich, Binz"
706,3714,"BINC","Zürich, Binz Center"
185,497,"BIGL","Zürich, Birch-/Glatttalstrasse"
350,498,"BIRD","Zürich, Birchdörfli"
489,3445,"BIBE","Zürich, Bircher-Benner"
300,3449,"BIRC","Zürich, Birchstrasse"
702,508,"BLEU","Zürich, Bleulerstrasse"
575,6626,"BLUM","Zürich, Blumenfeldstrasse"
734,3715,"BOST","Zürich, Bocklerstrasse"
6,3789,"BOLL","Zürich, Bollingerweg"
312,601,"BOES","Zürich, Börsenstrasse"
232,3645,"BOGA","Zürich, Botanischer Garten"
718,530,"BRAN","Zürich, Brandschenkestrasse"
50,542,"BRIS","Zürich, Bristenstrasse"
364,546,"BRUM","Zürich, Brunau/Mutschellenstr."
278,547,"BRUN","Zürich, Brunaustrasse"
57,564,"BUCH","Zürich, Bucheggplatz"
696,3787,"BUHO","Zürich, Buchholz"
135,573,"BUHN","Zürich, Buhnstrasse"
315,580,"BURG","Zürich, Burgwies"
102,615,"BURK","Zürich, Bürkliplatz"
273,586,"BUTZ","Zürich, Butzenstrasse"
507,617,"CARL","Zürich, Carl-Spitteler-Strasse"
203,619,"CENT","Zürich, Central"
301,3450,"CHAL","Zürich, Chaletweg"
617,3717,"CHIN","Zürich, Chinagarten"
69,648,"DAMM","Zürich, Dammweg"
521,649,"DANG","Zürich, Dangelstrasse"
271,6055,"DEP2","Zürich, Depot 2 Wollishofen"
59,6030,"DEP4","Zürich, Depot 4 Elisabethenstr"
93,6031,"DEP5","Zürich, Depot 5 Hard"
146,6032,"DEP7","Zürich, Depot 7 Irchel"
256,6033,"DEP8","Zürich, Depot 8 Oerlikon"
645,6421,"DEPD","Zürich, Depot Dolderbahn"
193,694,"DORF","Zürich, Dorflinde"
581,708,"DREI","Zürich, Dreispitz"
488,711,"DREW","Zürich, Dreiwiesen"
518,713,"DRUS","Zürich, Drusbergstrasse"
94,716,"DUNK","Zürich, Dunkelhölzli"
352,767,"EINF","Zürich, Einfangstrasse"
616,769,"ELWA","Zürich, Elektrowatt"
268,788,"ENGV","Zürich, Englischviertelstrasse"
700,3594,"EPIK","Zürich, EPI-Klinik"
282,800,"EGUT","Zürich, Eschergutweg"
55,799,"EWYS","Zürich, Escher-Wyss-Platz"
176,735,"ETHH","Zürich, ETH Hönggerberg"
154,736,"ETHZ","Zürich, ETH/Universitätsspital"
547,3446,"ETTE","Zürich, Ettenfeld"
99,821,"FARB","Zürich, Farbhof"
339,832,"FELD","Zürich, Feldeggstrasse"
344,840,"FELL","Zürich, Fellenbergstrasse"
287,845,"FELS","Zürich, Felsenrainstrasse"
321,6460,"ZFER","Zürich, Fernsehstudio"
97,852,"FEUS","Zürich, Feusisbergli"
71,857,"FWEG","Zürich, Fischerweg"
714,859,"FLOB","Zürich, Flobotstrasse"
699,868,"FLUE","Zürich, Flühgasse"
45,867,"FLUR","Zürich, Flurstrasse"
70,927,"FOER","Zürich, Förrlibuckstrasse"
165,872,"FRAN","Zürich, Frankental"
231,3466,"FRST","Zürich, Freiestrasse"
665,883,"FREI","Zürich, Freihofstrasse"
194,888,"FRIA","Zürich, Friedackerstrasse"
716,893,"FEIC","Zürich, Friedhof Eichbühl"
316,894,"ENZE","Zürich, Friedhof Enzenbühl"
563,895,"FHOE","Zürich, Friedhof Hönggerberg"
136,896,"FSWA","Zürich, Friedhof Schwandenholz"
360,897,"FSIH","Zürich, Friedhof Sihlfeld"
676,898,"FUET","Zürich, Friedhof Uetliberg"
504,899,"FWIT","Zürich, Friedhof Witikon"
197,901,"FRDR","Zürich, Friedrichstrasse"
359,902,"FRIB","Zürich, Friesenberg"
675,903,"FRIH","Zürich, Friesenberghalde"
172,904,"FRIE","Zürich, Friesenbergstrasse"
196,908,"FROB","Zürich, Frohburg"
234,917,"FROE","Zürich, Fröhlichstrasse"
586,914,"FRON","Zürich, Fronwald"
567,916,"FRYM","Zürich, Frymannstrasse"
40,6034,"GAR6","Zürich, Garage 6 Hardau"
3,6035,"GAR9","Zürich, Garage 9 Hagenholz"
167,944,"GEER","Zürich, Geeringstrasse"
671,971,"GERM","Zürich, Germaniastrasse"
80,972,"GESS","Zürich, Gessnerallee"
213,979,"GIBL","Zürich, Giblenstrasse"
372,998,"GLAT","Zürich, Glattwiesen"
139,1000,"GLAU","Zürich, Glaubtenstrasse"
758,6975,"GLNO","Zürich, Glaubtenstrasse Nord"
310,6020,"GLAS","Zürich, Glaubtenstrasse Süd"
505,3444,"GLOK","Zürich, Glockenacker"
309,1007,"GOLD","Zürich, Goldackerweg"
297,1012,"GOLP","Zürich, Goldbrunnenplatz"
666,1026,"GRIM","Zürich, Grimselstrasse"
705,489,"GRUB","Zürich, Grubenstrasse"
76,1041,"GRUN","Zürich, Grünaustrasse"
291,1061,"GUGG","Zürich, Guggachstrasse"
245,1076,"GUET","Zürich, Güterbahnhof"
650,1073,"GUTS","Zürich, Gutstrasse"
153,1098,"HALB","Zürich, Haldenbach"
264,1100,"HEGG","Zürich, Haldenegg"
578,3760,"HALO","Zürich, Hallenbad Oerlikon"
74,1120,"HARH","Zürich, Hardhof"
52,1122,"HARP","Zürich, Hardplatz"
73,2447,"SPOH","Zürich, Hardturm"
313,1138,"HEDW","Zürich, Hedwigsteig"
324,1139,"HEER","Zürich, Heerenwiesen"
174,1143,"HEGA","Zürich, Hegianwandweg"
37,1144,"HEGI","Zürich, Hegibachplatz"
168,1156,"HEIZ","Zürich, Heizenholz"
267,1157,"HELM","Zürich, Helmhaus"
347,1158,"HELV","Zürich, Helvetiaplatz"
585,1160,"HERB","Zürich, Herbstweg"
246,1162,"HERD","Zürich, Herdernstrasse"
134,1175,"HERT","Zürich, Hertensteinstrasse"
583,1179,"HERZ","Zürich, Herzogenmühlestrasse"
713,1186,"HEUB","Zürich, Heubeeriweg"
299,1187,"HEUR","Zürich, Heuried"
190,6250,"HIMM","Zürich, Himmeri"
237,1194,"HINT","Zürich, Hinterbergstrasse"
290,1215,"HIRS","Zürich, Hirschwiesenstrasse"
327,1220,"HIRZ","Zürich, Hirzenbach"
358,1272,"HOEF","Zürich, Höfliweg"
227,3469,"HOFS","Zürich, Hofstrasse"
163,1231,"HOHE","Zürich, Hohenklingensteig"
229,3470,"HSTG","Zürich, Hölderlinsteig"
270,1278,"HOEL","Zürich, Hölderlinstrasse"
355,1239,"HOLZ","Zürich, Holzerhurd"
177,1280,"HOEB","Zürich, Hönggerberg"
233,1286,"HOES","Zürich, Höschgasse"
345,1251,"HOTT","Zürich, Hottingerplatz"
43,1252,"HUBE","Zürich, Hubertus"
363,1288,"HUEG","Zürich, Hügelstrasse"
354,1259,"HUNG","Zürich, Hungerbergstrasse"
717,1865,"HURL","Zürich, Hürlimannplatz"
138,1292,"HUER","Zürich, Hürstholz"
735,1303,"IEBN","Zürich, Im Ebnet"
169,3123,"IMGU","Zürich, Im Gut"
173,1307,"IHAG","Zürich, Im Hagacker"
570,1310,"IHUS","Zürich, Im Hüsli"
715,1311,"IKLO","Zürich, Im Klösterli"
701,1315,"IWAL","Zürich, Im Walder"
178,1316,"IWIN","Zürich, Im Wingert"
217,1320,"IDEY","Zürich, In der Ey"
683,3153,"JUCH","Zürich, Juchhof"
366,1354,"JUGI","Zürich, Jugendherberge"
496,1356,"KALB","Zürich, Kalchbühlweg"
242,1358,"KANO","Zürich, Kanonengasse"
155,1359,"KANT","Zürich, Kantonsschule"
516,1362,"KAPF","Zürich, Kapfstrasse"
46,1364,"KAPP","Zürich, Kappeli"
561,3138,"KABU","Zürich, Kappenbühlweg"
187,1483,"KAES","Zürich, Käshaldenstrasse"
207,1379,"KEMP","Zürich, Kempfhofsteig"
356,1386,"KERN","Zürich, Kernstrasse"
537,1389,"KIEN","Zürich, Kienastenwies"
150,1399,"KINK","Zürich, Kinkelstrasse"
161,1407,"KFLU","Zürich, Kirche Fluntern"
228,3648,"KLOB","Zürich, Klosbach"
